	eta_Th	group	n_subj	prepost
206	-4.550818127028796	Th	6	pre
207	-4.448050722783925	Th	6	post
208	-4.599644982084936	Th	6	pre
209	-4.466070754187448	Th	6	post
210	-4.5403249604361395	Th	6	pre
211	-4.4470619960707065	Th	6	post
212	-4.582825407689931	Th	6	pre
213	-4.552415127656898	Th	6	post
214	-4.573929757488017	Th	6	pre
215	-4.462995329681708	Th	6	post
216	-4.556888035365514	Th	7	pre
217	-4.410326072147915	Th	7	post
218	-4.576006159490468	Th	7	pre
219	-4.461979442713212	Th	7	post
220	-4.623078482491629	Th	7	pre
221	-4.504054015996505	Th	7	post
222	-4.613781685731849	Th	7	pre
223	-4.454483971303823	Th	7	post
224	-4.606057770398198	Th	7	pre
225	-4.51979229401569	Th	7	post
226	-4.580592992354412	Th	7	pre
227	-4.4545341705789365	Th	7	post
228	-4.596155190954403	Th	7	pre
229	-4.478335915779581	Th	7	post
230	-4.590211595807757	Th	7	pre
231	-4.453848031102394	Th	7	post
232	-4.5952842089594625	Th	8	pre
233	-4.500388962881906	Th	8	post
